"headline","subheadline","author","content","newspaper","date"
"DESTAQUE QUIEBRE."," NA "," NA "," ""VENTAS DE SUPERMERCADOS PERUANOS POR PRIMERA VEZAÑADOMINADOBACKUS Y ALICORP.COMO PUERTASCUMPLIDORESCOMPROMISSOPOLÍTICO MARZO DE 2015.""","gestion","2015/05/12"
"PAGANDO DIVIDENDOS.; NA ; MACO ANTONIO VALDIVAR, SOCIEDADESTERMINACIONALENTIDADFINANCIERASENCARGODECALIFICARCOTIZADORASERVICIOSPUBLICOSEMPRESASSUPERINTENDENCIADELSECTOR FINANCIERO. "," ""COMPAÑIAS PAGAN MAS DIVIDENDOS ENPRIMEROSCUATROMESESDEL2015.DEENEROATABRILDESSEMILLONES.DELASTOPCOMPANYSPAGODIVIDENDOS REPRESENTAN UNINCREMENTODECÉNTIMOFACEIGUALENEGIOCIOPERIODODELAANOANTERIOR.LASAEMPRESASPAGARDIVIDENDOSMASGRANDES.AMBITOCONTRIBUYENTEQUEDIFUNDIDOENLOSRESULTADOSNEGATIVOSDELAECONOMIANACIONAL.CONSULTORA CALVALI INDICE DECRECIMIENTO DEUTILIDADESNETAS.MUCHASMENOSPROYECCIONESPOSITIVAS PARA EL SEGUIMENTO DE RESULTADOS.FISCALSECTORESINDUSTRIALS MINEROS REDUCIDA CAPACIDAD PRODUCTIVA.""","","","gestion","2015/05/12"
"GESTIÓN.GANANCIASNUEVAS.TOP100EMPRESABOLSALAMEGAEXPLOTAÇÃO EMPIRICAREPORTAJEPARAEXPERTOSFINANCEIROSSOBRECONECTIVIDADELCAMBIOCREDITOINTERNO.SEGUNDAVERSIÓNDEPARTICIPAÇÃOFINALISTA.NOVOSTUDOSREALIZADOSPARAAUXILIARPREFEITURALOCAL.","","","","gestion","2015/05/12"
"NÚMEROS.VARIOSFACTORESFAVORABLESAUMENTO.RENDIMIENTOSALTOS.TAXASDECAMBIOSCREDIBLES.CONSUMOINTERNOUNIVERSAL.ENFOCOENLASACTIVIDADESLOCALLIMITADAS.ALTERNATIVASPOSIBLESDISTRIBUIDASSEGÚNELPLANMAESTRODEIMPLEMENTACIÓN.","","","","gestion","2015/05/12"
"Nueva Nissan Patrol Roja en Lima","","","Un potente motor V8 de 317 HP y un interior premium, hacen de ella un verdadero icono de poder y lujo.","gestion","2015/05/12"
"Negocio","¿Habrá un nuevo administrador en la ‘U’?","","En la ‘U’ existió un cuestionamiento al administrador del club ‘Solución y Desarrollo Real’, ya que su representante legal, Raúl Leguía, estaba vinculado al club como socio, según una decisión del Indecopi en primera instancia, que luego fue revocada. No obstante, inmediatamente después a esa decisión, el 35% de los acreedores del club solicitó que se convoque a una nueva Junta de Acreedores, teniendo como único punto de agenda el nombramiento de un nuevo administrador.","gestion","2015/05/12"
"Economía","Monitor SEO”;Josimar Cuong Jimenez""","Para el celunauta peruano no la renovación de equipos es impulsada por el deterioro o la pérdida, principalmente. Sin embargo, el segmento A no espera hasta que estas situaciones ocurran. Para ellos, el vencimiento del contrato con el operador es una de las principales razones del cambio. Así lo reveló el estudio Perú del Celunauta, de Ipsos, el cual señaló que la rapidez del procesador y el tamaño de memoria son lo más valorado en ese estrato. En la compra, el modelo y la marca son determinantes.","","gestion","2015/05/12"
"Gourmet","Qué tipos de aplicaciones utiliza en su celular?”;NA""","'Compartir fotos, redes sociales'","","gestion","2015/05/12"
"Innovación Tecnológica","Mercado chino de móviles se desacelera.","Reuters","(…) El mercado de smartphones en China se atrozó, según un nuevo estudio de la analista de la industria IDC, con implicancias potencialmente significativas para la industria global, liderada por Apple y Samsung Electronics. Durante el primero de 2015, los envíos de teléfonos inteligentes en el país más poblado del mundo se redujeron por primera vez en seis años a 98.8 millones de unidades, una baja de un 4.3% con respecto al mismo periodo del año anterior, dijo IDC en un reporte.","gestion","2015/05/12"
"Banco","Banca móvil."," ""IPSOS Perú"""," ""Según el estudio de Ipsos Perú, el 19% de ‘smartphoneños bancarizados’ utilizaron la banca móvil en 2014, algo menos que lo registrado en 2013 como resultado de problemas en la experiencia de uso de las aplicaciones móviles de bancos. Lo cual habría desalentado a los usuarios a usar este canal nuevo, consideró Javier Álvarez.""","gestion","2015/05/12"
