"headline","subheadline","author","content","newspaper","date"
"FITCH RATIFICA CALIFICACIÓN BB+ AL PERÚ","PERSPECTIVA ESTABLE","Javier Priorale","La agencia internacional de calificación crediticia, Fitch Ratings, ratificó que Perú mantiene su nota en BBB+. Principalmente debido a sus dos balances fiscales exteriores y exteros y sus políticas macroeconómicas creíbles y consistentes de largo plazo.","gestion","2019/09/26"
"HAY UN MILLÓN DE PERSONAS QUE CAMBIAN SU CASA ANUALMENTE EN LIMA","","Ipsos Perú","Acercarse a la familia o al centro de trabajo y estudios es el principal motivo. El 58% cambia de zona, mientras que 42% se muda a lugares cercanos a donde residía. SMP es el principal destino.","gestion","2019/09/26"
"DANIÉL DUHARTE SOBRE TRANSFORMACION REAL PLAZA","","","Daniel Duhaire, gerente general de Real Plaza, hablando sobre la transformación de sus centros comerciales. Destaca el entretenimiento como ancla principal y formatos de uso mixto que están implementándose.","gestion","2019/09/26"
"Nestlé Profesional Ingresa Mercado Cafeterías en Lima","","Mirtha Triangulo López","Abrieron su primera cafetería asociada con Paikka. Planean expandirse significativamente en el 2020.","gestion","2019/09/26"
"Bitcoin uses more electricity than entire Switzerland","The cryptocurrency consumes energy equivalent to annual consumption figures.","","According to estimates from the University of Cambridge, bitcoin’s power usage amounts to 61.9 terawatt-hours annually, surpassing Switzerland which stands at 58.5.","gestion","2019/09/26"
"Paying Effectively","Banking Habits Among Peruvians","","Only 48% of Peruvians have bank accounts according to Pagos Eficientes. Implementing modern payment methods for e-commerce could increase this figure up to 80%, said representatives.","gestion","2019/09/26"
"DHL Adjustments","Price Increases Announced","","Starting January 1, 2020, international transport prices will rise approximately 5.89% compared to last year due to inflation adjustments among other factors.","gestion","2019/09/26"
"Heliports Expansion Plans","Ecocopter Targets Growth in Peru","","With its current fleet including Airbus helicopters, Ecocopter plans expansion projects in urban helicopter transportation alongside existing sectors like oil, gas, and mining.","gestion","2019/09/26"
"Serruto Expands Horizons","Entering the Chilean Market","","After over a decade in gold and silver jewelry production, Serruto aims to expand their presence in South American countries, focusing next on Chile where natural stones hold significant value.","gestion","2019/09/26"
"Ecommerce Trends","Continental Reports Sales Increase","","In recent months, sales of smaller-sized TVs increased by 24% while larger models still account for about 35% of overall television sales.","gestion","2019/09/26"
"Achieving Integrity","Certified Anti-Bribery Companies","","Three companies received certification from Empresa Certificada Antisoborno initiative led by Empresarios por la Integridad, recognizing good practices against corruption.","gestion","2019/09/26"
"Lego Opens Store","Expanding Presence in Peru","","Legoland opens its largest store yet in Plaza San Miguel offering digital play experiences along with traditional physical toys.","gestion","2019/09/26"
"Nuevo Plan Urbano para Lima","NA","NA","Se busca mantener el paisaje urbano, sin embargo, se contempla imponer cargos adicionales cuando esto ocurra.","gestion","2019/09/26"
"NUEVO PLAN PARA LA CIUDAD","Una nueva visión: Lima dividida en cuatro espacios","Romero","Al hablar en el evento Expo Real Estate Perú, Roméro menciona que el nuevo plan divide a Lima en cuatro áreas distintas: norte, sur, este y centro.","gestion","2019/09/26"
"ECONOMIA","APOYA PROPUESTA DEL MEF","Javier Príncipe","Julio Velarde muestra su respaldo a la legislación del MEF que permite aumentar automáticamente el impuesto predial basándose en licencias de construcción otorgadas.","gestion","2019/09/26"
"Bajo la Lupaa","LA SITUAÇÃO ECONÒMICÀ DO PAIS SERIA MUITO DIFERENTEA SE AS ELEICOENS FOREM ADIANTE OU ATÉ 2021","Waldo Mendoza Bellido","Analiza qué impacto tendría adelantar las elecciones versus postergarlas hasta cumplirse el período constitucional completo.","gestion","2019/09/26"
"Gobierno revisa regulación eléctrica","SNMPE pide que reformas en sector eléctrico respeten contratos de gas","Elías García","Las revisiones regulatorias buscan corregir anomalías en el mercado eléctrico y asegurar justicias en los precios del gas natural.","gestion","2019/09/26"
"Cultura debate Ley del libro","Beneficio sólo para pequeñas editoriales","NA","Divergencia entre ejecutivo y legislativo sobre quién debe recibir exoneración del IGV en la industria editorial.","gestion","2019/09/26"
"Metro de Lima expandirá líneas","Proyecto de teleférico conectará Villa El Salvador","Miguel Romero","Planifica integrar sistemas de transportes alternativos como teleféricos para mejorar accesibilidad en comunas limenas.","gestion","2019/09/26"
"SUNAT establece fecha final para reporte de beneficiarios","Empresas deben actualizar datos en diciembre","Gabriel O’Hara","Resolución dictamina que compañías clasificadas como principales contribuyentes reporten beneficiarios finales específicos.","gestion","2019/09/26"
