"headline","subheadline","author","content","newspaper","date"
"Cristhian Zamudio azota a joven de 15 años después de defender a su madre","Los agresores también atacaron a otras tres personas relacionadas.","Cristhian Zamudio","Según testigos, el incidente ocurrió cuando Cristhian Zamudio, de 45 años, empezó a agredir verbalmente a su compañera sentimental, María Rondoy, fuera de su hogar situado en el AA.HH. Laderas de Chillón. Cuando la hija de ésta, de apenas 15 años, intentó intervenir, Zamudio procedió a cortarla con un objeto punzocortante.","ojo","2016/09/18"
"Investigan explosión en vivienda de recicladores en Comas","Incidente sin reportes de lesionados."," NA"," ""Una residencia compuesta por dos niveles perteneciente a individuos dedicados a la recolección de materiales reciclables resultó completamente devastada por un incendio originado en la estructura. Autoridades locales atribuyen el rápido avance del fuego a la naturaleza altamente combustible de los elementos almacenados en el sitio.""","ojo","2016/09/18"
"Hombres armados interceptan transporte financiero, hurtan dinero","Dos hombres fuertemente armados irrumpieron en un convoy transportando fondos monetarios, forzando a los empleados a abandonar el vehículo y apropiándose de 44 mil nuevos soles.; NA; Durante la tarde anterior, agentes de la Dirección de Investigación Criminal (Dirincri) localizaron a los implicados mediante testimonios obtenidos de transeúntes cercanos al evento criminal.""","","","ojo","2016/09/18"
"Autoridades arrestan a traficante de drogas en el Callao","Operativos sorpresivos culminan con éxito."," NA"," ""Trabajadores de la unidad antidrogas ejecutan redadas estratégicamente planificadas en áreas críticas del Callao, consiguiendo la captura de un individuo involucrado en actividades ilegales de venta de sustancias controladas directamente desde su domicilio.""","ojo","2016/09/18"
"Cristiana Loyola opina sobre el final de ‘Al fondo hay sitio’","","Na","Tras el anuncio del final de la serie más exitosa del país, Christian Thorsen, quien interpretó a ’Raúl Del Prado’, opinó al programa radial Miraflores Espectáculos de Ghislain Araoz que le parece adecuado que ’Al fondo hay sitio’ termine liderando en audiencia y no en decadencia.","ojo","2016/09/18"
"Nueva campaña busca coronar a Miss Peru en Mesomerican International","","Na","Se llevará a cabo una nueva campaña para seleccionar a la próxima Miss Perú, quién representará al país en el prestigioso evento Mesomerican International Perú 2016. Esta selección tendrá lugar en una espectacular ceremonia organizada en el Parque de la Amistad de Surco.","ojo","2016/09/18"
"Investigación revela detalles sobre el accidente fatal en Cusco","Templo de San Sebastián devastado por incendio","Juan Sequiros","Un reportaje destaca el incidente catastróftico en el que el histórico Templo de San Sebastián sufrió graves daños debido a un incendio. Autoridades locales junto a especialistas trabajan intensivamente en proyectos de restauración para devolverle su anterior esplendor.","ojo","2016/09/18"
"Asesinato en medio de tensión callejera deja comunidad alarmada","Dos pistoleros neutralizados tras persecución","Na","Después de una confrontación mortal en la capital, dos individuos sospechosos de múltiples ataques armados fueron ultimados por la policía nacional. Según testimonios, esto podría relacionarse con actividades criminales persistentes en la zona.","ojo","2016/09/18"
"Guarinulla se Suárez (31), quien dio además dos pases afianzaron al frente de gol, encarrilaron una victoria que AHDA ¡CO 1K y de la clasificación de la selló el hit.","","Na","Guarinulla se Suárez (31), quien dio además dos pases afianzaron al frente de gol, encarrilaron una victoria que AHDA ¡CO 1K y de la clasificación de la selló el hit.","ojo","2016/09/18"
"GANA 3—1 SOBRE AL WASL","","Na","Arsenal se impone sobre Al Wasl 3–1 gracias a Raullana (64); Eiw…ATUS …—’ÁRBETO UMUUS Liga inglesa tras golear con un gol por la escuadra 4 – 0 ayer contra Al Wasl. CON GOL DE Fabfa, Al Jazeerahourmemonth, en una jornada donde el delantero delantero del Arsenal, Rubén Castro, abrió el marcador seguido por cuatro tantos más.","ojo","2016/09/18"
"PROMOCIÓNN NA PANAMERICANA TELEVISIÓN:","Na","Programa concurso más exitoso del mundo presenta nueva temporada este lunes 18 de septiembre a partir de las 8:30 PM durante la semana del 18 de septiembre al 24 de septiembre de 2016. Participa eligiendo correctamente entre 20 cajas para ganar hasta S/20 mil soles.","","ojo","2016/09/18"
"HABITACIONES","","Na","Ofrecemos diversas opciones de alojamientos incluyendo habitaciones individuales y compartidas disponibles en diferentes áreas urbanas.","ojo","2016/09/18"
"InmoiliarioHouse S.A.C ofrece oportunidades de compra rápida para diversos tipos de propiedad incluso aquellas con complicaciones legales o financieras. Contacto disponible a través de email house@housesac.com.","","","","ojo","2016/09/18"
"Nissan Sentra Intimanis ofrece vehículo ideal para conductores profesionales con equipamientos avanzados como sistema GPS integrado. Posibilidad de financiación flexible ofrecida por Ing. Sanmartinporres.","","","","ojo","2016/09/18"
