"headline","subheadline","author","content","newspaper","date"
"GESTIÓN RECURSOS PARA PRESTAR BCR inyecta más liquidez en soles para sostener los créditos bancarios","","","Los préstamos crecen en agosto a su mayor ritmo en cuatromeses. BCRLanzaría esta semana ePOS a cinco años para ‘fondear’ créditos en soles de la banca a mayortérmino.","gestion","2015/09/21"
"Crecimiento en Préstamos Bancarios","","Mario Guerrero","JEFE DE ESTUDIOS ECONÓMICOS DESCUBRIENDO BANK REPUNTE FINANCIERO EN EL 2015 Uno observaba históricamente que el ratio de crecimiento de crédito en conjunto había sido en el pasado tres veces la expansión de la economía. Entonces, si el BCR prevé un incremento del PBI para este año de 31%, en ese nivel jugaría muy bien con un crecimiento de los préstamos cercano a 9% en 2015. Para fines de año, estará más cerca de 9% que de 10%. La mayor inyección de soles a través de repos de expansión en lo que va de septiembre hace prever que este mes se mantendrá el dinamismo del financiamiento en esa moneda.","gestion","2015/09/21"
"NUEVAS METRICAS PUBLICITARIAS AMÉRICA TELEVISIÓN LANZA ESQUEMA REVOLUCIONARIO","OBJETIVO DEL CANAL ES CONTINUAR SIENDO UN MEDIO RENTABLE FRENTA PLATAFORMAS COMO INTERNET.","Vanessa Achola Fattorini","Una coyuntura, un modelo. Esta premisa es el punto de partida de América Televisión para armar su nuevo modelo comercial que se dará a conocer de manera oficial en noviembre, durante la preventa del canal y que se aplicará desde el 2016. Dos son los grandes hits, revela Pablo Massi, gerente comercial del canal de Santa Beatriz. ‘‘El primero es crear una nueva métrica comercial, que es el costo por mil impactos para comercializar la publicidad, ya no en base a costo por punto de rating’,’ dice. ‘‘El segundo será minimizar el nivel de saturación de tandas comerciales y, que a su vez, va enlazado con la decisión de tener un máximo de 16 minutos de tandas comerciales por hora,’’ agrega.","gestion","2015/09/21"
"HIGHLAND CAPITAL MANAGEMENT ARRIVA EN LATINOAMERICA","EXCLUSIVA CON RED IBÉRICA DE PRENSA ECONOMICA DIARIO FINANCIERO CHILE","","Highland Capital Management y Credicorp Capital anunciaron el acuerdo de distribución exclusiva que permitirá la colocación de los fondos de la densa entre los inversionistas institucionales en Perú, Chile y Colombia. La disponibilidad para la colocación será inmediata en cualquiera de los tres países citados, James Dondero, CEO de Highland Capital Management.","gestion","2015/09/21"
"FALLA LAS EXPORTACIONES DE INGENIERÍA CHILENAS EN PERÚ","REDUCE SU FACTURACIÓN EN UN 47% RESPECTO AL MISMO TRIMESTRE DEL AÑO PASADO","Nicole Kidman’s Choice Omega disponible en: ","Durante el primer semestre, estas ventas alcanzaron apenas US$ 34 millones, lo que representa un retroceso de 47% respecto a los US$ 64 millones registrados en igual período del 2014, según arrojó un estudio de la Asociación Iberoamericana de Empresas Consultoras de Ingeniería (AIC) y la Coalición de Exportadores de Servicios de la Cámara de Comercio de Santiago (CCS).","gestion","2015/09/21"
"SOUTHERN EVALUA EXPANSIÓN SIN EXTENDER FUNDIRIZACIÓN","NO SE REALIZARÁ AMPUTACIÓN EN SUS OPERACIONES MINERALES ACTUALES","Wilfredo Huanchani O.","Southern Perú Copper Corporation decidió que por lo pronto no hará la expansión en la capacidad de procesamiento de la fundición de 110, según indicó Oscar Gonzalez Rocha, presidente ejecutivo de esa compañía. Agregó que lo que la empresa podría hacer es la ampliación de la refinería de 110.","gestion","2015/09/21"
"DUCATI PIENSA EXPANDIR TIENDAS EN CENTROS COMERCIALES","PIETRO DEL SANTA INDICA POSIBLES UBICACIONES EN SURCO O MIRAFLORS","","Después de haber abierto el año pasado su primera tienda propia en el país, la marca italiana de motos de alta gama, Ducati, evalúa expandir su presencia en centros comerciales, y más tarde llegar al sur del país.","gestion","2015/09/21"
"Mantiene planes de expansión Mr. Shao","","","Su restaurante especializado en chifa, Mr. Sha,o indica que en el primer trimestre del próximo año arrancaran su expansión, abriendo por lo menos dos locales en Lima, especialmente en distritos de Lima Moderna.","gestion","2015/09/21"
"Wigo planea expandirse a 30 centros comerciales","Proyecto liderado por Carlos Andrésl. López","Karen Rojas","Para el cierre del presente año, WIGO alista su ingreso a provincias, con lo que estarán presentes en 12 centros comerciales a nivel nacional a través de su servicio de WiFi gratis. ... Expone Karen Rojas detalles adicionales sobre el plan estratégico de Wingo.","gestion","2015/09/21"
"BDR proyecta crecimiento moderado","Expectativas conservadoras ante factores externos","Fernando Alegría","El Banco Central de Reserva (BCR) reduce su estimado de crecimiento del PBI para el período actual, citando influencias adversas globales y cambios en el tipo de cambio. Fernando Alegría analiza estos elementos detalladamente.","gestion","2015/09/21"
"Inversiones privadas enfrentan declive significativo","Impacto notable en diversos sectores industriales","Fernando Alegría","Se anticipa una disminución considerable en la inversión privada durante el año vigente, atribuida a múltiples factores económicos y financieros. Detalla Fernanda Alegría las implicaciones específicas para cada sector relevante.","gestion","2015/09/21"
"Pronósticos de clima amenazan producción agrícola","Menor incidencia esperada en comparación con años anteriores","","Según informes del Banco Central de Reserva, aunque persisten preocupaciones climáticas relacionadas con El Niño, se espera un impacto limitado en la agricultura para el resto del año.","gestion","2015/09/21"
"Grado de avance: Primario Situación de la economía.","","La opinión editorial destaca cómo el BCR y el MEF muestran diferentes perspectivas sobre el crecimiento del PIB, ambas anticipando un papel crucial del sector primario, especialmente la minería metálica, para impulsar la economía tras el enfriamiento económico.","","gestion","2015/09/21"
"Inglés, puertas al mundo.;","Este artículo discute la estrategia nacional denominada ‘Inglés, puertas al mundo’, dirigida por el Ministerio de Educación junto con el Consejo Nacional de la Competitividad. Destaca cómo dominar el inglés proporciona ventajas significativas en términos de oportunidades educativas, laborales y empresariales, además de facilitar la integración global del país.","","","gestion","2015/09/21"
"NAGODUM: Opinión Editorial Ejecutivo del consejo nacional de la convivencia ciudadana Perú ya cuenta con una Ética nacional de inglés definada”;;Se analiza la importancia crítica del inglés en diversos ámbitos profesionales y sociales dentro del Perú, basándose en datos de un estudio realizado por el British Council. Se argumenta que aunque muchos empleadores reconocen la importancia del inglés, pocas organizaciones proveen capacitación adecuada en él.""","","","","gestion","2015/09/21"
