"filename","extracted_text"
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#01.png","
TROME

ESPECIAL DE LO MEJOR DEL 2013

Carmen le tapó la boca a garota Geni y derramó petróleo

PUMA FELIZ CON SU ESPOSA

Se fue abajo en puente y derramó petróleo

CISTERNACAE AL RIO Y MUERE CHOFER

Las noticias más impactantes

TROME REGALA MINIVANS NUEVECITAS

PELOTEROS ARMARON TONAZO PARA QUEMAR ANO VIEJO, HICIERON EL TRENCITO Y AGARRADITA DE CINTURA

MIÉRCOLES 1 DE ENERO DEL 2014 S/. 0.50 VIA AEREA

Inscribe tu número de la Suerte al 710-0260

PELOTEROS ARMARON TONAZO PARA QUEMAR ANO VIEJO, HICIERON EL TRENCITO Y AGARRADITA DE CINTURA

Miles acamparon en playas del sur y la Costa Verde para recibir el 2014 con buenas vibras"
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#02.png","
Lo mejor de La calle está dana

ENCUESTA

HOY:
¿Cree que el fallo que dará la Corte de La Haya será favorable al Perú?

AYER:
¿Cree que el 2014 será un mejor año para el Perú?

Sí 75% NO 25%
CONTESTE EN: www.trome.pe

EL TUIT DEL DÍA
@tromepe

TROME Para cualquier consulta sobre la promoción, báñense al:

El cupo 2,77
Dólar 2,79

Director Periodístico Carlos Espinoza Olcay Contenido publicado por Prensa Popular SAC Jr. Mira Oeste de 247 pase 7 Línea 1 Teléfonos: (01) 365-8500 Fax: 311-6953 Página web www.trome.pe Email: trome@tromepress.com Publicidad: 709-9090 Impresión:
Empresas Editora El Comercio Jr. Pasco 530, Pueblo Libre, Hnos. Ballestero y López N°201-1962
Lasartes de Rama son brindadas responsabilidad de sus actos.

FONOAVISOS Grupo El Comercio

Anuncia llamando al 708-9999 fonoavisos@comercio.com.pe Directo, cómodo y fácil

Su aviso, sin moverse de su casa u oficina"
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#04.png","
O 2 QUÉ HACER PARA CUMPLIRLOS?

Pagar deudas, bajar de peso, pasar más tiempo con la familia, viajar y otros Psicólogo sugiere plantearse metas alcanzables

E mpezó el nuevo año y con él los buenos deseos que muchos resumen en salud, amor dinero y prosperidad. Sin embargo, un estudio del psicólogo Richard Wiseman indica que solo el 12% de personas consiguen lo que se proponen.

La lista es publicada en la revista ""Time"" y vale para todos los ciudadanos. Al respecto, el psicólogo Estuardo Yacolca, director del Centro Peruano de Psicoterapia Integral, expresó: ""Los principales preguntas son qué hacer cuando no puedes cumplir con lo que uno se propone"".

Estudio revela 10 deseos más comunes

El estudio revela 10 deseos más comunes:

1. Bajar de peso
2. Saludar a alguien
3. Ahorrar
4. Viajar
5. Aprender algo nuevo
6. Visitar lugares nuevos
7. Desarrollar habilidades nuevas
8. Tomar un curso o taller
9. Tomar un remedio natural
10. Tomar un descanso

Estos son los 10 deseos más comunes que se proponen y solo el 12% de las personas consiguen cumplirlos.

¿Cómo lograrlo?

Para lograr estos deseos, es necesario:

1. Definir metas claras
2. Establecer un plan para alcanzarlas
3. Tomar medidas para cumplirlas
4. Mantenerse motivado y persistente

Con estos pasos, podrás lograr tus deseos y mejorar tu calidad de vida.

¿Qué te gustaría hacer en el año que viene? ¿Cuáles son tus metas?

Estudio revela 10 deseos más comunes"
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#07.png","
SE FUE EL AÑO 2013. QUE LOS MUÉNECOS MÁS VENDIDOS HAYAN SIDO LOS DE TILSA Y EL LOCO VARGAS REFLEJA QUE FUE EL AÑO DE LOS ESCÁNDALOS TELEVISIVOS.
LAS MENTIRAS DISFRAZADAS DE VERDADES NO SOLO ESTUVIERON EN SILLONES ROJOS SINO EN POLÍTICOS COMO ALEJANDRO TOLEDANO Y LAS CASAS DE SU SUEGRA, LOS NARCOINDULTOS DE ALAN GARCÍA O LA PROTECCIÓN POLICIAL AL OPERADOR MONTESINISTA ÓSCAR LÓPEZ MENESES."
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#08.png","
Tres avezados delincuentes irrumpieron, a plena luz del día, en la conocida notaría Palino en San Isidro. A solo metros de la Dirincri y la Dirandro de Aramburú, los facinerosos se dirigieron desde el comerciante Félix Gonzales, que tenía un maletín con 280 mil soles con el que iba a legalizar una transacción con Pascual Cusilayme Yanqui. A Gonzales lo acobillaron para robarle el maletín. La familia de la víctima acuso a Cusilayme de estar enredado con los delincuentes y se preparó en el pie que recibió se lo hicieron los asesinos para que no sospechen de él.

Mientras la selección Sub 20 de Ahmed deslumbraba en el Sudamericano y salían a la luz los nombres del 'Chaval' Benavente y Yordi Reyna, en Trujillo, el asesino juvenil ""Gringasho"" se fugaba una vez más de la correccional y su novia Yasmy Marquina Casas, ""Gringasha"", alborotaba la Internet con provocativas poses."
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#09.png","
¿QUIÉN MANDÓ A MATAR A LUIS CHOY?

En febrero, el país quedó conmocionado por el asesinato del fotógrafo Luis Choy, baleado en la puerta de su edificio en Pueblo Libre. A los pocos días, se capturó al asesino confeso, el sicario Lindomar Hernandez, 'Puerto Rico' y a Edgar Lucano, quien fue el contacto. El caso no tuvo cuando se sospechó del empresario y ex diputado Miguel Roca, quien fue amenazado por el fotógrafo con su esposa. Pero el 12 de junio, 'Puerto Rico' y 'Lucano' fugaron misteriosamente por la puerta grande de Lurigancho. Días después, un centenar de policías llegaron hasta su escondite y los acribillaron a balazos. Ambos se llevaron el nombre del autor intelectual al infierno.

FOTO: EL COMERCIO"
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#11.png","
EL CRIMEN SE PAGA

Luego de más de un año, el Poder Judicial terminó por sentenciar a los 102 vándalos capturados tras los disturbios en La Parada, donde participaron no solo comerciantes sino también delincuentes y elementos de mal vivir. El último grupo de detenidos fue condenado a penas que van de tres a ocho años de cárcel efectiva. El juez Malzon Urbina fue quien emitió una sentencia a favor de los revoltosos y hoy pretende llegar al Congreso."
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#10.png","
EL SINIESTRO DR. MUERTE

Ángel Valdivia Calderón se conjeturó en el hombre más odioso del país cuando confesó que había violado y ultrajado a la adolescente Maryofre Keiko V.S. en su consultorio, en San Juan de Miraflores.
Acorralado por la policía, reconoció que ""se le pasó la mano"" y enterró el cadáver en su casa de Villa María del Triunfo, donde lo cubrió con gruesas capas de cemento. Para engrosar su currículum diabólico, Valdivia también perdió cárcel por pertenecer al grupo terrorista Sendero Luminoso.

LOS QUE SE FUERON

La izquierda y el Apra sufrieron dos pérdidas muy sentidas: Javier Diez Canseco y Armando Villanueva del Campo.
El teatro, el cine y la TV, en ese orden, perdieron a un gran exponente de la cultura nacional. En 1980 fue la muerte de Nelson Madiba Mandela, una leyenda viva en la lucha contra la segregación racial, de la misma talla que Gandhi o Martin Luther King. Margaret Thatcher, la llamada ""dama de hierro"" murió a los 87 años. Admistrada en USA y Europa, no era bien vista en Latinoamérica porque impulsó la Guerra de las Malvinas y la posterior ocupación británica de las islas.

¡NO HUBO MILAGRO PARA DIRECTOR!

El director del penal ""El Milagro"" de Trujillo, Jorge Izquierdo Quijano, fue asesinado por un sicario cuando almorzaba en una cebichería, a pocos metros de la prisión. La policía, posteriormente, identificó al sicario Santos Valdivieso, quien fue condenado a 15 años de cárcel.

Además, Izquierdo planeaba trasladar a algunos delincuentes a penales de máxima seguridad en el sur del país."
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#12.png","
PARA MYRIAM

La Corte Suprema, en un polémico fallo,
desechó anular la sentencia que condenó a Eva Bracamonte a treinta años de prisión por mandar asesinar a su madre, la empresaria Myrian Fefer. Ahora, la joven enfrentará un nuevo juicio en libertad, mientras su amiga Liliana Castro Mannarelli, absuelta del caso, es estrella del cuestionado reality ""Combate"".

ESTE MARCO NO QUERÍA A SU MAMÁ

A diferencia del entrañable dibujo animado, este Marco Arenas Castillo (22) no amaba a su mamá (él no sabía que era su madre adoptiva), sino todo lo contrario. Asesinó a la empresaria de panaderías María Rosa Castillo porque descubrió que le robaba dinero y joyas, que regalaba a su novia Fernanda Lora Paz (18). Según la policía, ""Fer"" participó y fue cómplice en el cruel asesinato: la llevaron a un descampado en Manchay y le prendieron fuego con petróleo, estando aún con vida. Horrendo."
"results/images/preprocessed/trome/2014/01/01/trome_2014-01-01#13.png","
El CHOLO EN SU LABERINTO

El presidente Alejandro Toledo se incineró solo al tratar de ocultar lo que al final salió a la luz: qué sabía que la residencia de Las Casuarinas y la oficina de Monterico fueron adquiridas por su suegra Eva Fernández con millones de dólares de la empresa Ecoteva que él ayudó a conformar en Costa Rica. Por si fuera poco, también ocultó que esa empresa le pagó las hipotecas de sus casas en Camacho y Punta Sal. Pinocho le quedó chico.

La Megacomisión del Congreso, que investigaba presuntos actos de corrupción en el gobierno de Alan García, sacó a la luz el caso de las llamadas 'gracias presidenciales', concedidas por la comisión que presidía el hoy encarcelado funcionario aprista Miguel Facundo Chinguel. Testimonios como el del ex reo brasileño Carlos Butrón Dos Santos, ""Brasil"", aseguraban que esos ""indultos"" sirvieron para extender las actividades de narcotraficantes nacionales y extranjeros, pagándose miles de dólares. Alan se justificó diciendo que los indultos 'se los consultó a Dios', increíble.

LAPESADILLA DE LOS NARCOINDULTOS

Fujimori se vistió con ropa que parecían prestadas por un indignante. Despeinado y con mascarilla de gas se presentó en la audiencia, donde su abogado intentaba buscar un arresto domiciliario para su defendido. Cuando se le negó el pedido, al escuchar su voz, el coraje y se dedicó a llamar por teléfono para despotricar del gobierno, hasta que le cortaron la línea.

FLACO, OFEROSO Y SIN... INDULTO"
